n_steps,audit_probability,return_fidelity,expected_score,classical_memory_bound,collective_classical_record_bound,raw_margin_above_classical,systematic_per_branch,null_slack,adjusted_margin,alpha,beta,planned_audit_trials,planned_return_trials,planned_total_trials,planning_feasible
93,0.9129841887071201,0.7524416095054872,0.8327128991063036,0.75,0.8535533905932737,0.08271289910630364,0.005,0.005,0.07271289910630363,0.01,0.1,635,635,1270,True
94,0.9121582203297058,0.7501842846769708,0.8311712525033383,0.75,0.8535533905932737,0.08117125250333834,0.005,0.005,0.07117125250333833,0.01,0.1,662,663,1325,True
95,0.9113339038890464,0.7479337318229399,0.8296338178559932,0.75,0.8535533905932737,0.07963381785599322,0.005,0.005,0.06963381785599321,0.01,0.1,692,692,1384,True
96,0.9105112360812684,0.745689930627471,0.8281005833543698,0.75,0.8535533905932737,0.07810058335436976,0.005,0.005,0.06810058335436975,0.01,0.1,724,723,1447,True
97,0.9096902136091058,0.7434528608355887,0.8265715372223472,0.75,0.8535533905932737,0.07657153722234722,0.005,0.005,0.06657153722234721,0.01,0.1,758,757,1515,True
98,0.9088708331818875,0.7412225022530818,0.8250466677174847,0.75,0.8535533905932737,0.0750466677174847,0.005,0.005,0.06504666771748469,0.01,0.1,793,793,1586,True
99,0.9080530915155238,0.7389988347463226,0.8235259631309232,0.75,0.8535533905932737,0.07352596313092319,0.005,0.005,0.06352596313092318,0.01,0.1,832,831,1663,True
100,0.9072369853324928,0.7367818382420837,0.8220094117872883,0.75,0.8535533905932737,0.07200941178728826,0.005,0.005,0.06200941178728825,0.01,0.1,873,873,1746,True
101,0.9064225113618278,0.7345714927273574,0.8204970020445926,0.75,0.8535533905932737,0.07049700204459264,0.005,0.005,0.06049700204459263,0.01,0.1,917,917,1834,True
102,0.9056096663391041,0.7323677782491753,0.8189887222941397,0.75,0.8535533905932737,0.06898872229413966,0.005,0.005,0.05898872229413965,0.01,0.1,964,965,1929,True
103,0.9047984470064259,0.7301706749144278,0.8174845609604269,0.75,0.8535533905932737,0.06748456096042688,0.005,0.005,0.05748456096042687,0.01,0.1,1016,1015,2031,True
104,0.9039888501124131,0.7279801628896845,0.8159845065010488,0.75,0.8535533905932737,0.06598450650104881,0.005,0.005,0.0559845065010488,0.01,0.1,1070,1071,2141,True
105,0.9031808724121883,0.7257962224010155,0.8144885474066019,0.75,0.8535533905932737,0.06448854740660193,0.005,0.005,0.05448854740660192,0.01,0.1,1130,1131,2261,True
106,0.9023745106673638,0.7236188337338124,0.8129966722005881,0.75,0.8535533905932737,0.06299667220058813,0.005,0.005,0.052996672200588124,0.01,0.1,1195,1195,2390,True
